City,State,SizeRank,Date,House_Value
Sweetwater,TX,904,2010-03-01,48087
Andrews,TX,905,2010-03-01,86543
Zapata,TX,906,2010-03-01,60218
Lamesa,TX,908,2010-03-01,42632
Pecos,TX,910,2010-03-01,NA
Vernon,TX,911,2010-03-01,49762
New York,NY,1,2010-04-01,401080
Los Angeles-Long Beach-Anaheim,CA,2,2010-04-01,429817
Dallas-Fort Worth,TX,4,2010-04-01,150345
Houston,TX,6,2010-04-01,151077
Miami-Fort Lauderdale,FL,8,2010-04-01,178806
San Francisco,CA,11,2010-04-01,576926
Riverside,CA,13,2010-04-01,205963
Phoenix,AZ,14,2010-04-01,160150
San Diego,CA,17,2010-04-01,390072
Tampa,FL,19,2010-04-01,142458
Charlotte,NC,24,2010-04-01,164335
Sacramento,CA,25,2010-04-01,245258
San Antonio,TX,26,2010-04-01,141800
Orlando,FL,27,2010-04-01,148438
San Jose,CA,34,2010-04-01,660414
Austin,TX,35,2010-04-01,208965
Jacksonville,FL,40,2010-04-01,164875
Buffalo,NY,47,2010-04-01,126112
Raleigh,NC,48,2010-04-01,213368
Rochester,NY,51,2010-04-01,128279
Tucson,AZ,53,2010-04-01,176760
Fresno,CA,56,2010-04-01,174728
Albany,NY,60,2010-04-01,189738
Bakersfield,CA,63,2010-04-01,144494
Ventura,CA,66,2010-04-01,431802
El Paso,TX,68,2010-04-01,124695
McAllen,TX,71,2010-04-01,79938
Greensboro,NC,73,2010-04-01,129722
North Port-Sarasota-Bradenton,FL,75,2010-04-01,178388
Stockton,CA,77,2010-04-01,183858
Syracuse,NY,79,2010-04-01,125682
Winston-Salem,NC,81,2010-04-01,132476
Fort Myers,FL,84,2010-04-01,143601
Lakeland,FL,88,2010-04-01,124846
Daytona Beach,FL,90,2010-04-01,139881
Melbourne,FL,97,2010-04-01,137393
Modesto,CA,102,2010-04-01,151315
Durham,NC,104,2010-04-01,201549
Santa Rosa,CA,105,2010-04-01,395744
Pensacola,FL,110,2010-04-01,143960
Visalia,CA,111,2010-04-01,146743
Corpus Christi,TX,115,2010-04-01,122179
Asheville,NC,118,2010-04-01,200414
Port St. Lucie,FL,119,2010-04-01,129552
Santa Maria-Santa Barbara,CA,120,2010-04-01,461951
Salinas,CA,123,2010-04-01,337967
Vallejo,CA,124,2010-04-01,238539
Brownsville,TX,127,2010-04-01,104634
Killeen,TX,128,2010-04-01,122861
Beaumont,TX,130,2010-04-01,94789
Tallahassee,FL,140,2010-04-01,151052
Fayetteville,NC,142,2010-04-01,129035
Hickory,NC,143,2010-04-01,117798
Ocala,FL,149,2010-04-01,124220
Naples,FL,151,2010-04-01,248219
Utica,NY,160,2010-04-01,107612
Lubbock,TX,163,2010-04-01,116983
San Luis Obispo,CA,169,2010-04-01,433298
Gainesville,FL,170,2010-04-01,164226
Santa Cruz,CA,171,2010-04-01,536213
Merced,CA,174,2010-04-01,139449
Wilmington,NC,175,2010-04-01,215987
Waco,TX,178,2010-04-01,109215
Amarillo,TX,180,2010-04-01,115242
Binghamton,NY,181,2010-04-01,116378
Laredo,TX,184,2010-04-01,137757
Crestview-Fort Walton Beach-Destin,FL,187,2010-04-01,207565
College Station,TX,192,2010-04-01,141063
Chico,CA,196,2010-04-01,212084
Longview,TX,200,2010-04-01,100514
Prescott,AZ,202,2010-04-01,204086
Tyler,TX,204,2010-04-01,125492
Lake Havasu City,AZ,213,2010-04-01,156010
Yuma,AZ,218,2010-04-01,141883
Panama City,FL,226,2010-04-01,170884
Kingston,NY,227,2010-04-01,231885
Jacksonville,NC,232,2010-04-01,158941
Redding,CA,233,2010-04-01,168217
El Centro,CA,236,2010-04-01,154455
Greenville,NC,241,2010-04-01,128370
Yuba City,CA,244,2010-04-01,175910
Abilene,TX,245,2010-04-01,102208
Punta Gorda,FL,251,2010-04-01,136125
Hanford,CA,266,2010-04-01,167353
Rocky Mount,NC,268,2010-04-01,94601
Wichita Falls,TX,270,2010-04-01,87831
Burlington,NC,271,2010-04-01,NA
Madera,CA,272,2010-04-01,147198
Texarkana,TX,275,2010-04-01,76195
Midland,TX,288,2010-04-01,160141
Homosassa Springs,FL,289,2010-04-01,125779
Vero Beach,FL,295,2010-04-01,151392
Odessa,TX,296,2010-04-01,106660
Napa,CA,297,2010-04-01,400049
Jamestown,NY,300,2010-04-01,84501
Eureka,CA,301,2010-04-01,247646
Flagstaff,AZ,303,2010-04-01,288030
Lumberton,NC,304,2010-04-01,NA
Sierra Vista,AZ,309,2010-04-01,NA
Glens Falls,NY,315,2010-04-01,160353
New Bern,NC,319,2010-04-01,147867
Goldsboro,NC,327,2010-04-01,112082
Sherman,TX,331,2010-04-01,100374
Watertown,NY,337,2010-04-01,120232
Dunn,NC,343,2010-04-01,154392
Ogdensburg,NY,348,2010-04-01,76130
San Angelo,TX,349,2010-04-01,NA
Show Low,AZ,362,2010-04-01,156582
Ithaca,NY,373,2010-04-01,178976
Corning,NY,381,2010-04-01,91733
Sebring,FL,382,2010-04-01,106540
Truckee,CA,383,2010-04-01,348612
Shelby,NC,386,2010-04-01,93400
The Villages,FL,398,2010-04-01,194083
Elmira,NY,413,2010-04-01,90473
Pinehurst-Southern Pines,NC,416,2010-04-01,188469
Ukiah,CA,417,2010-04-01,276451
Lufkin,TX,419,2010-04-01,78275
Huntsville,TX,432,2010-04-01,112622
Plattsburgh,NY,433,2010-04-01,144124
Wilson,NC,439,2010-04-01,105169
Olean,NY,441,2010-04-01,94251
Auburn,NY,442,2010-04-01,115993
Athens,TX,444,2010-04-01,104159
Roanoke Rapids,NC,456,2010-04-01,62970
Palatka,FL,462,2010-04-01,75045
Mount Airy,NC,464,2010-04-01,103537
Key West,FL,466,2010-04-01,NA
North Wilkesboro,NC,480,2010-04-01,110166
Forest City,NC,484,2010-04-01,101163
Lake City,FL,485,2010-04-01,96968
Morehead City,NC,490,2010-04-01,257012
Marshall,TX,494,2010-04-01,98796
Clearlake,CA,499,2010-04-01,154869
Nacogdoches,TX,500,2010-04-01,107141
Elizabeth City,NC,503,2010-04-01,168472
Red Bluff,CA,506,2010-04-01,176592
Hudson,NY,507,2010-04-01,199275
Oneonta,NY,512,2010-04-01,118663
Rio Grande City,TX,520,2010-04-01,51108
Albemarle,NC,525,2010-04-01,120549
Batavia,NY,530,2010-04-01,101679
Oxford,NC,531,2010-04-01,146102
Kinston,NC,535,2010-04-01,77537
Palestine,TX,537,2010-04-01,80202
Sanford,NC,541,2010-04-01,121669
Gloversville,NY,547,2010-04-01,99194
Sonora,CA,548,2010-04-01,NA
Eagle Pass,TX,557,2010-04-01,87419
Payson,AZ,559,2010-04-01,150968
Malone,NY,577,2010-04-01,79759
Boone,NC,582,2010-04-01,254140
Jacksonville,TX,584,2010-04-01,85233
Amsterdam,NY,589,2010-04-01,91722
Paris,TX,591,2010-04-01,72811
Kerrville,TX,592,2010-04-01,161703
Cortland,NY,595,2010-04-01,96976
Del Rio,TX,597,2010-04-01,86998
Washington,NC,600,2010-04-01,130338
Corsicana,TX,601,2010-04-01,76580
Nogales,AZ,608,2010-04-01,106318
Rockingham,NC,619,2010-04-01,60089
Henderson,NC,634,2010-04-01,74037
Marion,NC,640,2010-04-01,NA
El Campo,TX,675,2010-04-01,98100
Alice,TX,680,2010-04-01,105081
Cullowhee,NC,686,2010-04-01,221305
Okeechobee,FL,692,2010-04-01,99849
Clewiston,FL,700,2010-04-01,88830
Gainesville,TX,712,2010-04-01,121403
Kill Devil Hills,NC,714,2010-04-01,359876
Brownwood,TX,716,2010-04-01,75848
Stephenville,TX,717,2010-04-01,109983
Safford,AZ,724,2010-04-01,105174
Bay City,TX,737,2010-04-01,98788
Plainview,TX,746,2010-04-01,59215
Big Spring,TX,747,2010-04-01,59525
Laurinburg,NC,748,2010-04-01,68033
Seneca Falls,NY,755,2010-04-01,89720
Susanville,CA,757,2010-04-01,114229
Arcadia,FL,759,2010-04-01,89205
Brenham,TX,769,2010-04-01,145590
Brevard,NC,773,2010-04-01,189168
Kingsville,TX,781,2010-04-01,72434
Mount Pleasant,TX,783,2010-04-01,93326
Beeville,TX,788,2010-04-01,73385
Crescent City,CA,815,2010-04-01,147781
Mineral Wells,TX,820,2010-04-01,90375
Wauchula,FL,824,2010-04-01,75050
Uvalde,TX,833,2010-04-01,80004
Fredericksburg,TX,849,2010-04-01,213195
Levelland,TX,862,2010-04-01,77839
Pampa,TX,866,2010-04-01,42981
Borger,TX,873,2010-04-01,51442
Raymondville,TX,874,2010-04-01,42178
Dumas,TX,877,2010-04-01,73217
Port Lavaca,TX,881,2010-04-01,97638
Hereford,TX,891,2010-04-01,43593
Snyder,TX,898,2010-04-01,58936
Sweetwater,TX,904,2010-04-01,48207
Andrews,TX,905,2010-04-01,86692
Zapata,TX,906,2010-04-01,60465
Lamesa,TX,908,2010-04-01,42535
Pecos,TX,910,2010-04-01,NA
Vernon,TX,911,2010-04-01,49661
New York,NY,1,2010-05-01,400485
Los Angeles-Long Beach-Anaheim,CA,2,2010-05-01,433973
Dallas-Fort Worth,TX,4,2010-05-01,150437
Houston,TX,6,2010-05-01,151365
Miami-Fort Lauderdale,FL,8,2010-05-01,178158
San Francisco,CA,11,2010-05-01,578364
Riverside,CA,13,2010-05-01,207297
Phoenix,AZ,14,2010-05-01,159225
San Diego,CA,17,2010-05-01,391112
Tampa,FL,19,2010-05-01,142167
Charlotte,NC,24,2010-05-01,164041
Sacramento,CA,25,2010-05-01,245143
San Antonio,TX,26,2010-05-01,142159
Orlando,FL,27,2010-05-01,147737
San Jose,CA,34,2010-05-01,663687
Austin,TX,35,2010-05-01,209353
Jacksonville,FL,40,2010-05-01,164746
Buffalo,NY,47,2010-05-01,126518
Raleigh,NC,48,2010-05-01,213963
Rochester,NY,51,2010-05-01,128798
Tucson,AZ,53,2010-05-01,176269
Fresno,CA,56,2010-05-01,174211
Albany,NY,60,2010-05-01,190368
Bakersfield,CA,63,2010-05-01,145605
Ventura,CA,66,2010-05-01,432832
El Paso,TX,68,2010-05-01,124764
McAllen,TX,71,2010-05-01,79491
Greensboro,NC,73,2010-05-01,129598
North Port-Sarasota-Bradenton,FL,75,2010-05-01,178182
Stockton,CA,77,2010-05-01,181695
Syracuse,NY,79,2010-05-01,126059
Winston-Salem,NC,81,2010-05-01,132497
Fort Myers,FL,84,2010-05-01,144364
Lakeland,FL,88,2010-05-01,123027
Daytona Beach,FL,90,2010-05-01,139487
Melbourne,FL,97,2010-05-01,137090
Modesto,CA,102,2010-05-01,152186
Durham,NC,104,2010-05-01,201688
Santa Rosa,CA,105,2010-05-01,393997
Pensacola,FL,110,2010-05-01,144077
Visalia,CA,111,2010-05-01,147139
Corpus Christi,TX,115,2010-05-01,122109
Asheville,NC,118,2010-05-01,200271
Port St. Lucie,FL,119,2010-05-01,129889
Santa Maria-Santa Barbara,CA,120,2010-05-01,469730
Salinas,CA,123,2010-05-01,342378
Vallejo,CA,124,2010-05-01,239856
Brownsville,TX,127,2010-05-01,104421
Killeen,TX,128,2010-05-01,123026
Beaumont,TX,130,2010-05-01,94857
Tallahassee,FL,140,2010-05-01,150806
Fayetteville,NC,142,2010-05-01,129108
Hickory,NC,143,2010-05-01,118340
Ocala,FL,149,2010-05-01,122682
Naples,FL,151,2010-05-01,248935
Utica,NY,160,2010-05-01,108212
Lubbock,TX,163,2010-05-01,117757
San Luis Obispo,CA,169,2010-05-01,435607
Gainesville,FL,170,2010-05-01,161737
Santa Cruz,CA,171,2010-05-01,539118
Merced,CA,174,2010-05-01,140830
Wilmington,NC,175,2010-05-01,215467
Waco,TX,178,2010-05-01,109289
Amarillo,TX,180,2010-05-01,115507
Binghamton,NY,181,2010-05-01,116294
Laredo,TX,184,2010-05-01,137722
Crestview-Fort Walton Beach-Destin,FL,187,2010-05-01,206799
College Station,TX,192,2010-05-01,141913
Chico,CA,196,2010-05-01,213415
Longview,TX,200,2010-05-01,100548
Prescott,AZ,202,2010-05-01,202469
Tyler,TX,204,2010-05-01,125117
Lake Havasu City,AZ,213,2010-05-01,154511
Yuma,AZ,218,2010-05-01,141339
Panama City,FL,226,2010-05-01,170325
Kingston,NY,227,2010-05-01,231189
Jacksonville,NC,232,2010-05-01,159416
Redding,CA,233,2010-05-01,167508
El Centro,CA,236,2010-05-01,153939
Greenville,NC,241,2010-05-01,128417
Yuba City,CA,244,2010-05-01,175444
Abilene,TX,245,2010-05-01,102136
Punta Gorda,FL,251,2010-05-01,136000
Hanford,CA,266,2010-05-01,167952
Rocky Mount,NC,268,2010-05-01,94309
Wichita Falls,TX,270,2010-05-01,87881
Burlington,NC,271,2010-05-01,NA
Madera,CA,272,2010-05-01,146625
Texarkana,TX,275,2010-05-01,76375
Midland,TX,288,2010-05-01,160070
Homosassa Springs,FL,289,2010-05-01,125347
Vero Beach,FL,295,2010-05-01,151053
Odessa,TX,296,2010-05-01,106824
Napa,CA,297,2010-05-01,395980
Jamestown,NY,300,2010-05-01,84595
Eureka,CA,301,2010-05-01,246914
Flagstaff,AZ,303,2010-05-01,285328
Lumberton,NC,304,2010-05-01,NA
Sierra Vista,AZ,309,2010-05-01,NA
Glens Falls,NY,315,2010-05-01,160422
New Bern,NC,319,2010-05-01,147630
Goldsboro,NC,327,2010-05-01,111957
Sherman,TX,331,2010-05-01,99510
Watertown,NY,337,2010-05-01,120416
Dunn,NC,343,2010-05-01,154908
Ogdensburg,NY,348,2010-05-01,76178
San Angelo,TX,349,2010-05-01,NA
Show Low,AZ,362,2010-05-01,155916
Ithaca,NY,373,2010-05-01,180561
Corning,NY,381,2010-05-01,91557
Sebring,FL,382,2010-05-01,105687
Truckee,CA,383,2010-05-01,346833
Shelby,NC,386,2010-05-01,93255
The Villages,FL,398,2010-05-01,195516
Elmira,NY,413,2010-05-01,90407
Pinehurst-Southern Pines,NC,416,2010-05-01,188458
Ukiah,CA,417,2010-05-01,276594
Lufkin,TX,419,2010-05-01,78324
Huntsville,TX,432,2010-05-01,112763
Plattsburgh,NY,433,2010-05-01,144465
Wilson,NC,439,2010-05-01,105026
Olean,NY,441,2010-05-01,94202
Auburn,NY,442,2010-05-01,116043
Athens,TX,444,2010-05-01,104091
Roanoke Rapids,NC,456,2010-05-01,62666
Palatka,FL,462,2010-05-01,74594
Mount Airy,NC,464,2010-05-01,103642
Key West,FL,466,2010-05-01,NA
North Wilkesboro,NC,480,2010-05-01,109013
Forest City,NC,484,2010-05-01,100982
Lake City,FL,485,2010-05-01,96552
Morehead City,NC,490,2010-05-01,256624
Marshall,TX,494,2010-05-01,98979
Clearlake,CA,499,2010-05-01,154648
Nacogdoches,TX,500,2010-05-01,107232
Elizabeth City,NC,503,2010-05-01,167380
Red Bluff,CA,506,2010-05-01,176363
Hudson,NY,507,2010-05-01,199212
Oneonta,NY,512,2010-05-01,118672
Rio Grande City,TX,520,2010-05-01,50945
Albemarle,NC,525,2010-05-01,120473
Batavia,NY,530,2010-05-01,101545
Oxford,NC,531,2010-05-01,145835
Kinston,NC,535,2010-05-01,77455
Palestine,TX,537,2010-05-01,80378
Sanford,NC,541,2010-05-01,121432
Gloversville,NY,547,2010-05-01,99258
Sonora,CA,548,2010-05-01,NA
Eagle Pass,TX,557,2010-05-01,87625
Payson,AZ,559,2010-05-01,150006
Malone,NY,577,2010-05-01,79803
Boone,NC,582,2010-05-01,253529
Jacksonville,TX,584,2010-05-01,85239
Amsterdam,NY,589,2010-05-01,91635
Paris,TX,591,2010-05-01,72851
Kerrville,TX,592,2010-05-01,161734
Cortland,NY,595,2010-05-01,96919
Del Rio,TX,597,2010-05-01,86913
Washington,NC,600,2010-05-01,129962
Corsicana,TX,601,2010-05-01,76599
Nogales,AZ,608,2010-05-01,105492
Rockingham,NC,619,2010-05-01,60011
Henderson,NC,634,2010-05-01,73951
Marion,NC,640,2010-05-01,NA
El Campo,TX,675,2010-05-01,98060
Alice,TX,680,2010-05-01,105038
Cullowhee,NC,686,2010-05-01,221277
Okeechobee,FL,692,2010-05-01,99312
Clewiston,FL,700,2010-05-01,88378
Gainesville,TX,712,2010-05-01,121352
Kill Devil Hills,NC,714,2010-05-01,358113
Brownwood,TX,716,2010-05-01,75834
Stephenville,TX,717,2010-05-01,110140
Safford,AZ,724,2010-05-01,104330
Bay City,TX,737,2010-05-01,98801
Plainview,TX,746,2010-05-01,59206
Big Spring,TX,747,2010-05-01,59660
Laurinburg,NC,748,2010-05-01,67892
Seneca Falls,NY,755,2010-05-01,89823
Susanville,CA,757,2010-05-01,113935
Arcadia,FL,759,2010-05-01,88624
Brenham,TX,769,2010-05-01,145389
Brevard,NC,773,2010-05-01,188602
Kingsville,TX,781,2010-05-01,72499
Mount Pleasant,TX,783,2010-05-01,93366
Beeville,TX,788,2010-05-01,73402
Crescent City,CA,815,2010-05-01,147960
Mineral Wells,TX,820,2010-05-01,90329
Wauchula,FL,824,2010-05-01,74783
Uvalde,TX,833,2010-05-01,80036
Fredericksburg,TX,849,2010-05-01,212667
Levelland,TX,862,2010-05-01,77975
Pampa,TX,866,2010-05-01,42922
Borger,TX,873,2010-05-01,51427
Raymondville,TX,874,2010-05-01,42981
Dumas,TX,877,2010-05-01,73329
Port Lavaca,TX,881,2010-05-01,97639
Hereford,TX,891,2010-05-01,43752
Snyder,TX,898,2010-05-01,59000
Sweetwater,TX,904,2010-05-01,48292
Andrews,TX,905,2010-05-01,86930
Zapata,TX,906,2010-05-01,60700
Lamesa,TX,908,2010-05-01,42557
Pecos,TX,910,2010-05-01,NA
Vernon,TX,911,2010-05-01,49661
New York,NY,1,2010-06-01,400947
Los Angeles-Long Beach-Anaheim,CA,2,2010-06-01,432973
Dallas-Fort Worth,TX,4,2010-06-01,150474
Houston,TX,6,2010-06-01,151052
Miami-Fort Lauderdale,FL,8,2010-06-01,176869
San Francisco,CA,11,2010-06-01,578026
Riverside,CA,13,2010-06-01,207643
Phoenix,AZ,14,2010-06-01,158298
San Diego,CA,17,2010-06-01,390648
Tampa,FL,19,2010-06-01,141751
Charlotte,NC,24,2010-06-01,163582
Sacramento,CA,25,2010-06-01,244819
San Antonio,TX,26,2010-06-01,142160
Orlando,FL,27,2010-06-01,146789
San Jose,CA,34,2010-06-01,655157
Austin,TX,35,2010-06-01,209523
Jacksonville,FL,40,2010-06-01,164458
Buffalo,NY,47,2010-06-01,127099
Raleigh,NC,48,2010-06-01,213846
Rochester,NY,51,2010-06-01,129197
Tucson,AZ,53,2010-06-01,174633
Fresno,CA,56,2010-06-01,173045
Albany,NY,60,2010-06-01,190986
Bakersfield,CA,63,2010-06-01,144807
Ventura,CA,66,2010-06-01,428611
El Paso,TX,68,2010-06-01,124491
McAllen,TX,71,2010-06-01,79211
Greensboro,NC,73,2010-06-01,129478
North Port-Sarasota-Bradenton,FL,75,2010-06-01,177707
Stockton,CA,77,2010-06-01,181398
Syracuse,NY,79,2010-06-01,126340
Winston-Salem,NC,81,2010-06-01,132540
Fort Myers,FL,84,2010-06-01,145011
Lakeland,FL,88,2010-06-01,121344
Daytona Beach,FL,90,2010-06-01,137824
Melbourne,FL,97,2010-06-01,136669
Modesto,CA,102,2010-06-01,153230
Durham,NC,104,2010-06-01,201090
Santa Rosa,CA,105,2010-06-01,392611
Pensacola,FL,110,2010-06-01,143819
Visalia,CA,111,2010-06-01,146102
Corpus Christi,TX,115,2010-06-01,121914
Asheville,NC,118,2010-06-01,199625
Port St. Lucie,FL,119,2010-06-01,129885
Santa Maria-Santa Barbara,CA,120,2010-06-01,472522
Salinas,CA,123,2010-06-01,344806
Vallejo,CA,124,2010-06-01,238763
Brownsville,TX,127,2010-06-01,104648
Killeen,TX,128,2010-06-01,123086
Beaumont,TX,130,2010-06-01,94854
Tallahassee,FL,140,2010-06-01,150298
Fayetteville,NC,142,2010-06-01,129325
Hickory,NC,143,2010-06-01,118839
Ocala,FL,149,2010-06-01,121925
Naples,FL,151,2010-06-01,248860
Utica,NY,160,2010-06-01,108730
Lubbock,TX,163,2010-06-01,117951
San Luis Obispo,CA,169,2010-06-01,434964
Gainesville,FL,170,2010-06-01,159919
Santa Cruz,CA,171,2010-06-01,541941
Merced,CA,174,2010-06-01,139019
Wilmington,NC,175,2010-06-01,214256
Waco,TX,178,2010-06-01,109386
Amarillo,TX,180,2010-06-01,115410
Binghamton,NY,181,2010-06-01,115773
Laredo,TX,184,2010-06-01,137377
Crestview-Fort Walton Beach-Destin,FL,187,2010-06-01,205701
College Station,TX,192,2010-06-01,142630
Chico,CA,196,2010-06-01,214254
Longview,TX,200,2010-06-01,100509
Prescott,AZ,202,2010-06-01,200784
Tyler,TX,204,2010-06-01,124604
Lake Havasu City,AZ,213,2010-06-01,153469
Yuma,AZ,218,2010-06-01,139939
Panama City,FL,226,2010-06-01,170642
Kingston,NY,227,2010-06-01,230700
Jacksonville,NC,232,2010-06-01,159956
Redding,CA,233,2010-06-01,166633
El Centro,CA,236,2010-06-01,153664
Greenville,NC,241,2010-06-01,128732
Yuba City,CA,244,2010-06-01,174922
Abilene,TX,245,2010-06-01,101946
Punta Gorda,FL,251,2010-06-01,135607
Hanford,CA,266,2010-06-01,167653
Rocky Mount,NC,268,2010-06-01,94053
Wichita Falls,TX,270,2010-06-01,87804
Burlington,NC,271,2010-06-01,NA
Madera,CA,272,2010-06-01,146209
Texarkana,TX,275,2010-06-01,76311
Midland,TX,288,2010-06-01,160144
Homosassa Springs,FL,289,2010-06-01,124319
Vero Beach,FL,295,2010-06-01,150544
Odessa,TX,296,2010-06-01,106873
Napa,CA,297,2010-06-01,395936
Jamestown,NY,300,2010-06-01,84316
Eureka,CA,301,2010-06-01,246050
Flagstaff,AZ,303,2010-06-01,281888
Lumberton,NC,304,2010-06-01,NA
Sierra Vista,AZ,309,2010-06-01,NA
Glens Falls,NY,315,2010-06-01,160507
New Bern,NC,319,2010-06-01,147515
Goldsboro,NC,327,2010-06-01,111910
Sherman,TX,331,2010-06-01,100133
Watertown,NY,337,2010-06-01,120522
Dunn,NC,343,2010-06-01,155108
Ogdensburg,NY,348,2010-06-01,76240
San Angelo,TX,349,2010-06-01,NA
Show Low,AZ,362,2010-06-01,154768
Ithaca,NY,373,2010-06-01,181821
Corning,NY,381,2010-06-01,91242
Sebring,FL,382,2010-06-01,104507
Truckee,CA,383,2010-06-01,346778
Shelby,NC,386,2010-06-01,93086
The Villages,FL,398,2010-06-01,197161
Elmira,NY,413,2010-06-01,90669
Pinehurst-Southern Pines,NC,416,2010-06-01,188966
Ukiah,CA,417,2010-06-01,276491
Lufkin,TX,419,2010-06-01,78189
Huntsville,TX,432,2010-06-01,112684
Plattsburgh,NY,433,2010-06-01,144901
Wilson,NC,439,2010-06-01,104922
Olean,NY,441,2010-06-01,94242
Auburn,NY,442,2010-06-01,116140
Athens,TX,444,2010-06-01,103995
Roanoke Rapids,NC,456,2010-06-01,62480
Palatka,FL,462,2010-06-01,74260
Mount Airy,NC,464,2010-06-01,103563
Key West,FL,466,2010-06-01,NA
North Wilkesboro,NC,480,2010-06-01,109008
Forest City,NC,484,2010-06-01,100789
Lake City,FL,485,2010-06-01,96177
Morehead City,NC,490,2010-06-01,256005
Marshall,TX,494,2010-06-01,99035
Clearlake,CA,499,2010-06-01,154185
Nacogdoches,TX,500,2010-06-01,107237
Elizabeth City,NC,503,2010-06-01,166506
Red Bluff,CA,506,2010-06-01,175772
Hudson,NY,507,2010-06-01,198989
Oneonta,NY,512,2010-06-01,118745
Rio Grande City,TX,520,2010-06-01,50931
Albemarle,NC,525,2010-06-01,120449
Batavia,NY,530,2010-06-01,101454
Oxford,NC,531,2010-06-01,145550
Kinston,NC,535,2010-06-01,77382
Palestine,TX,537,2010-06-01,80346
Sanford,NC,541,2010-06-01,121258
Gloversville,NY,547,2010-06-01,99388
Sonora,CA,548,2010-06-01,NA
Eagle Pass,TX,557,2010-06-01,87749
Payson,AZ,559,2010-06-01,149250
Malone,NY,577,2010-06-01,79907
Boone,NC,582,2010-06-01,252831
Jacksonville,TX,584,2010-06-01,85132
Amsterdam,NY,589,2010-06-01,91604
Paris,TX,591,2010-06-01,72795
Kerrville,TX,592,2010-06-01,161585
Cortland,NY,595,2010-06-01,96936
Del Rio,TX,597,2010-06-01,87017
Washington,NC,600,2010-06-01,129601
Corsicana,TX,601,2010-06-01,76535
Nogales,AZ,608,2010-06-01,104642
Rockingham,NC,619,2010-06-01,59924
Henderson,NC,634,2010-06-01,73845
Marion,NC,640,2010-06-01,NA
El Campo,TX,675,2010-06-01,98066
Alice,TX,680,2010-06-01,104531
Cullowhee,NC,686,2010-06-01,221669
Okeechobee,FL,692,2010-06-01,98815
Clewiston,FL,700,2010-06-01,87964
Gainesville,TX,712,2010-06-01,121248
Kill Devil Hills,NC,714,2010-06-01,356525
Brownwood,TX,716,2010-06-01,75811
Stephenville,TX,717,2010-06-01,110239
Safford,AZ,724,2010-06-01,103495
Bay City,TX,737,2010-06-01,98766
Plainview,TX,746,2010-06-01,59207
Big Spring,TX,747,2010-06-01,59519
Laurinburg,NC,748,2010-06-01,67829
Seneca Falls,NY,755,2010-06-01,89916
Susanville,CA,757,2010-06-01,113668
Arcadia,FL,759,2010-06-01,88112
Brenham,TX,769,2010-06-01,145384
Brevard,NC,773,2010-06-01,188203
Kingsville,TX,781,2010-06-01,72443
Mount Pleasant,TX,783,2010-06-01,93313
Beeville,TX,788,2010-06-01,73332
Crescent City,CA,815,2010-06-01,148177
Mineral Wells,TX,820,2010-06-01,90230
Wauchula,FL,824,2010-06-01,74589
Uvalde,TX,833,2010-06-01,79947
Fredericksburg,TX,849,2010-06-01,212526
Levelland,TX,862,2010-06-01,78037
Pampa,TX,866,2010-06-01,42919
Borger,TX,873,2010-06-01,51413
Raymondville,TX,874,2010-06-01,43514
Dumas,TX,877,2010-06-01,73153
Port Lavaca,TX,881,2010-06-01,97574
Hereford,TX,891,2010-06-01,43782
Snyder,TX,898,2010-06-01,59158
Sweetwater,TX,904,2010-06-01,48260
Andrews,TX,905,2010-06-01,87001
Zapata,TX,906,2010-06-01,60656
Lamesa,TX,908,2010-06-01,42637
Pecos,TX,910,2010-06-01,NA
Vernon,TX,911,2010-06-01,49634
New York,NY,1,2010-07-01,401430
Los Angeles-Long Beach-Anaheim,CA,2,2010-07-01,430741
Dallas-Fort Worth,TX,4,2010-07-01,149839
Houston,TX,6,2010-07-01,150164
Miami-Fort Lauderdale,FL,8,2010-07-01,175560
San Francisco,CA,11,2010-07-01,575328
Riverside,CA,13,2010-07-01,207522
Phoenix,AZ,14,2010-07-01,155118
San Diego,CA,17,2010-07-01,388053
Tampa,FL,19,2010-07-01,140687
Charlotte,NC,24,2010-07-01,162679
Sacramento,CA,25,2010-07-01,244797
San Antonio,TX,26,2010-07-01,142157
Orlando,FL,27,2010-07-01,145692
San Jose,CA,34,2010-07-01,648314
Austin,TX,35,2010-07-01,208839
Jacksonville,FL,40,2010-07-01,163188
Buffalo,NY,47,2010-07-01,127550
Raleigh,NC,48,2010-07-01,212535
Rochester,NY,51,2010-07-01,129278
Tucson,AZ,53,2010-07-01,172486
Fresno,CA,56,2010-07-01,170437
Albany,NY,60,2010-07-01,191210
Bakersfield,CA,63,2010-07-01,143879
Ventura,CA,66,2010-07-01,426134
El Paso,TX,68,2010-07-01,124360
McAllen,TX,71,2010-07-01,79157
Greensboro,NC,73,2010-07-01,129094
North Port-Sarasota-Bradenton,FL,75,2010-07-01,176705
Stockton,CA,77,2010-07-01,182156
Syracuse,NY,79,2010-07-01,126262
Winston-Salem,NC,81,2010-07-01,132395
Fort Myers,FL,84,2010-07-01,145153
Lakeland,FL,88,2010-07-01,119945
Daytona Beach,FL,90,2010-07-01,136446
Melbourne,FL,97,2010-07-01,134770
Modesto,CA,102,2010-07-01,154203
Durham,NC,104,2010-07-01,200007
Santa Rosa,CA,105,2010-07-01,390087
