City,State,SizeRank,Date,Sell_Price
Cullowhee,NC,541,2008-03-01,NA
Okeechobee,FL,545,2008-03-01,NA
Clewiston,FL,549,2008-03-01,NA
Gainesville,TX,554,2008-03-01,NA
Kill Devil Hills,NC,555,2008-03-01,NA
Stephenville,TX,557,2008-03-01,114500
Safford,AZ,561,2008-03-01,NA
Seneca Falls,NY,573,2008-03-01,NA
Brenham,TX,578,2008-03-01,NA
Brevard,NC,580,2008-03-01,175500
Crescent City,CA,595,2008-03-01,NA
Borger,TX,618,2008-03-01,NA
New York,NY,1,2008-04-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2008-04-01,459400
Dallas-Fort Worth,TX,4,2008-04-01,144100
Houston,TX,6,2008-04-01,144400
Miami-Fort Lauderdale,FL,8,2008-04-01,244700
San Francisco,CA,11,2008-04-01,522300
Riverside,CA,12,2008-04-01,285000
Phoenix,AZ,13,2008-04-01,212500
San Diego,CA,16,2008-04-01,395900
Tampa,FL,18,2008-04-01,169500
Charlotte,NC,23,2008-04-01,151400
Sacramento,CA,24,2008-04-01,274100
San Antonio,TX,25,2008-04-01,140900
Orlando,FL,26,2008-04-01,214500
San Jose,CA,33,2008-04-01,642900
Austin,TX,34,2008-04-01,182100
Jacksonville,FL,39,2008-04-01,181900
Buffalo,NY,46,2008-04-01,NA
Raleigh,NC,47,2008-04-01,174200
Rochester,NY,50,2008-04-01,NA
Tucson,AZ,52,2008-04-01,200500
Fresno,CA,55,2008-04-01,233500
Albany,NY,59,2008-04-01,183700
Bakersfield,CA,62,2008-04-01,205000
Ventura,CA,65,2008-04-01,455000
El Paso,TX,67,2008-04-01,NA
Greensboro,NC,71,2008-04-01,126300
North Port-Sarasota-Bradenton,FL,73,2008-04-01,222300
Stockton,CA,75,2008-04-01,NA
Syracuse,NY,77,2008-04-01,110100
Winston-Salem,NC,79,2008-04-01,124600
Fort Myers,FL,82,2008-04-01,197200
Lakeland,FL,86,2008-04-01,153000
Daytona Beach,FL,88,2008-04-01,172700
Melbourne,FL,95,2008-04-01,160000
Modesto,CA,100,2008-04-01,231600
Durham,NC,102,2008-04-01,181800
Santa Rosa,CA,103,2008-04-01,422100
Pensacola,FL,108,2008-04-01,147900
Visalia,CA,109,2008-04-01,189000
Asheville,NC,114,2008-04-01,NA
Port St. Lucie,FL,115,2008-04-01,173700
Santa Maria-Santa Barbara,CA,116,2008-04-01,413000
Salinas,CA,119,2008-04-01,NA
Vallejo,CA,120,2008-04-01,327200
Killeen,TX,123,2008-04-01,110100
Tallahassee,FL,133,2008-04-01,169500
Fayetteville,NC,135,2008-04-01,NA
Hickory,NC,136,2008-04-01,114800
Ocala,FL,142,2008-04-01,142600
Naples,FL,144,2008-04-01,309700
Utica,NY,153,2008-04-01,92900
San Luis Obispo,CA,160,2008-04-01,470700
Gainesville,FL,161,2008-04-01,171600
Santa Cruz,CA,162,2008-04-01,612900
Merced,CA,165,2008-04-01,NA
Wilmington,NC,166,2008-04-01,209700
Waco,TX,169,2008-04-01,NA
Amarillo,TX,171,2008-04-01,113000
Binghamton,NY,172,2008-04-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2008-04-01,214600
Chico,CA,184,2008-04-01,241100
Prescott,AZ,188,2008-04-01,256000
Tyler,TX,190,2008-04-01,NA
Lake Havasu City,AZ,198,2008-04-01,191400
Yuma,AZ,203,2008-04-01,175700
Panama City,FL,211,2008-04-01,203000
Kingston,NY,212,2008-04-01,NA
Redding,CA,217,2008-04-01,242200
El Centro,CA,219,2008-04-01,NA
Greenville,NC,223,2008-04-01,131400
Yuba City,CA,226,2008-04-01,212200
Abilene,TX,227,2008-04-01,NA
Punta Gorda,FL,233,2008-04-01,152700
Hanford,CA,246,2008-04-01,197400
Rocky Mount,NC,248,2008-04-01,NA
Burlington,NC,250,2008-04-01,111400
Madera,CA,251,2008-04-01,NA
Midland,TX,262,2008-04-01,NA
Homosassa Springs,FL,263,2008-04-01,137800
Vero Beach,FL,267,2008-04-01,172700
Odessa,TX,268,2008-04-01,NA
Napa,CA,269,2008-04-01,479000
Eureka,CA,271,2008-04-01,293300
Flagstaff,AZ,273,2008-04-01,329900
Sierra Vista,AZ,278,2008-04-01,169500
Glens Falls,NY,281,2008-04-01,159900
New Bern,NC,285,2008-04-01,164000
Goldsboro,NC,290,2008-04-01,NA
Sherman,TX,294,2008-04-01,NA
Watertown,NY,300,2008-04-01,126600
Dunn,NC,304,2008-04-01,NA
Show Low,AZ,318,2008-04-01,NA
Ithaca,NY,327,2008-04-01,NA
Corning,NY,335,2008-04-01,88200
Sebring,FL,336,2008-04-01,125000
Truckee,CA,337,2008-04-01,423300
Shelby,NC,340,2008-04-01,NA
Victoria,TX,347,2008-04-01,NA
The Villages,FL,349,2008-04-01,190800
Elmira,NY,362,2008-04-01,NA
Pinehurst-Southern Pines,NC,365,2008-04-01,181900
Ukiah,CA,366,2008-04-01,329300
Huntsville,TX,377,2008-04-01,NA
Plattsburgh,NY,378,2008-04-01,132000
Wilson,NC,384,2008-04-01,NA
Olean,NY,386,2008-04-01,69300
Auburn,NY,387,2008-04-01,96500
Athens,TX,388,2008-04-01,NA
Palatka,FL,400,2008-04-01,NA
Mount Airy,NC,402,2008-04-01,94100
North Wilkesboro,NC,415,2008-04-01,NA
Forest City,NC,417,2008-04-01,NA
Lake City,FL,418,2008-04-01,130800
Morehead City,NC,422,2008-04-01,249300
Clearlake,CA,427,2008-04-01,236800
Red Bluff,CA,432,2008-04-01,NA
Hudson,NY,433,2008-04-01,223800
Oneonta,NY,436,2008-04-01,NA
Albemarle,NC,446,2008-04-01,NA
Batavia,NY,450,2008-04-01,93100
Oxford,NC,451,2008-04-01,140600
Kinston,NC,453,2008-04-01,NA
Sonora,CA,458,2008-04-01,269000
Payson,AZ,464,2008-04-01,NA
Boone,NC,478,2008-04-01,NA
Kerrville,TX,483,2008-04-01,156300
Cortland,NY,486,2008-04-01,87900
Nogales,AZ,493,2008-04-01,176800
Marion,NC,511,2008-04-01,NA
El Campo,TX,535,2008-04-01,NA
Cullowhee,NC,541,2008-04-01,NA
Okeechobee,FL,545,2008-04-01,NA
Clewiston,FL,549,2008-04-01,NA
Gainesville,TX,554,2008-04-01,NA
Kill Devil Hills,NC,555,2008-04-01,NA
Stephenville,TX,557,2008-04-01,112600
Safford,AZ,561,2008-04-01,NA
Seneca Falls,NY,573,2008-04-01,NA
Brenham,TX,578,2008-04-01,NA
Brevard,NC,580,2008-04-01,161500
Crescent City,CA,595,2008-04-01,NA
Borger,TX,618,2008-04-01,NA
New York,NY,1,2008-05-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2008-05-01,443500
Dallas-Fort Worth,TX,4,2008-05-01,142200
Houston,TX,6,2008-05-01,141600
Miami-Fort Lauderdale,FL,8,2008-05-01,236300
San Francisco,CA,11,2008-05-01,483500
Riverside,CA,12,2008-05-01,268900
Phoenix,AZ,13,2008-05-01,203700
San Diego,CA,16,2008-05-01,381200
Tampa,FL,18,2008-05-01,164100
Charlotte,NC,23,2008-05-01,147900
Sacramento,CA,24,2008-05-01,258800
San Antonio,TX,25,2008-05-01,139300
Orlando,FL,26,2008-05-01,203700
San Jose,CA,33,2008-05-01,617300
Austin,TX,34,2008-05-01,181100
Jacksonville,FL,39,2008-05-01,174000
Buffalo,NY,46,2008-05-01,NA
Raleigh,NC,47,2008-05-01,171800
Rochester,NY,50,2008-05-01,NA
Tucson,AZ,52,2008-05-01,200400
Fresno,CA,55,2008-05-01,218100
Albany,NY,59,2008-05-01,183300
Bakersfield,CA,62,2008-05-01,199800
Ventura,CA,65,2008-05-01,442200
El Paso,TX,67,2008-05-01,NA
Greensboro,NC,71,2008-05-01,120800
North Port-Sarasota-Bradenton,FL,73,2008-05-01,213600
Stockton,CA,75,2008-05-01,NA
Syracuse,NY,77,2008-05-01,108900
Winston-Salem,NC,79,2008-05-01,122300
Fort Myers,FL,82,2008-05-01,189500
Lakeland,FL,86,2008-05-01,151000
Daytona Beach,FL,88,2008-05-01,171700
Melbourne,FL,95,2008-05-01,157000
Modesto,CA,100,2008-05-01,217000
Durham,NC,102,2008-05-01,172600
Santa Rosa,CA,103,2008-05-01,411200
Pensacola,FL,108,2008-05-01,146500
Visalia,CA,109,2008-05-01,181600
Asheville,NC,114,2008-05-01,NA
Port St. Lucie,FL,115,2008-05-01,164000
Santa Maria-Santa Barbara,CA,116,2008-05-01,392800
Salinas,CA,119,2008-05-01,NA
Vallejo,CA,120,2008-05-01,309800
Killeen,TX,123,2008-05-01,109200
Tallahassee,FL,133,2008-05-01,161100
Fayetteville,NC,135,2008-05-01,NA
Hickory,NC,136,2008-05-01,115600
Ocala,FL,142,2008-05-01,137100
Naples,FL,144,2008-05-01,306500
Utica,NY,153,2008-05-01,91700
San Luis Obispo,CA,160,2008-05-01,449200
Gainesville,FL,161,2008-05-01,167600
Santa Cruz,CA,162,2008-05-01,555200
Merced,CA,165,2008-05-01,NA
Wilmington,NC,166,2008-05-01,205500
Waco,TX,169,2008-05-01,NA
Amarillo,TX,171,2008-05-01,110400
Binghamton,NY,172,2008-05-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2008-05-01,227100
Chico,CA,184,2008-05-01,236600
Prescott,AZ,188,2008-05-01,260300
Tyler,TX,190,2008-05-01,NA
Lake Havasu City,AZ,198,2008-05-01,183400
Yuma,AZ,203,2008-05-01,167700
Panama City,FL,211,2008-05-01,205700
Kingston,NY,212,2008-05-01,NA
Redding,CA,217,2008-05-01,239400
El Centro,CA,219,2008-05-01,NA
Greenville,NC,223,2008-05-01,130200
Yuba City,CA,226,2008-05-01,203800
Abilene,TX,227,2008-05-01,NA
Punta Gorda,FL,233,2008-05-01,149900
Hanford,CA,246,2008-05-01,197200
Rocky Mount,NC,248,2008-05-01,NA
Burlington,NC,250,2008-05-01,109200
Madera,CA,251,2008-05-01,NA
Midland,TX,262,2008-05-01,NA
Homosassa Springs,FL,263,2008-05-01,143200
Vero Beach,FL,267,2008-05-01,171300
Odessa,TX,268,2008-05-01,NA
Napa,CA,269,2008-05-01,464000
Eureka,CA,271,2008-05-01,281400
Flagstaff,AZ,273,2008-05-01,310900
Sierra Vista,AZ,278,2008-05-01,170400
Glens Falls,NY,281,2008-05-01,159800
New Bern,NC,285,2008-05-01,158900
Goldsboro,NC,290,2008-05-01,NA
Sherman,TX,294,2008-05-01,NA
Watertown,NY,300,2008-05-01,124900
Dunn,NC,304,2008-05-01,NA
Show Low,AZ,318,2008-05-01,NA
Ithaca,NY,327,2008-05-01,NA
Corning,NY,335,2008-05-01,88700
Sebring,FL,336,2008-05-01,120600
Truckee,CA,337,2008-05-01,407100
Shelby,NC,340,2008-05-01,NA
Victoria,TX,347,2008-05-01,NA
The Villages,FL,349,2008-05-01,190800
Elmira,NY,362,2008-05-01,NA
Pinehurst-Southern Pines,NC,365,2008-05-01,202600
Ukiah,CA,366,2008-05-01,325100
Huntsville,TX,377,2008-05-01,NA
Plattsburgh,NY,378,2008-05-01,133600
Wilson,NC,384,2008-05-01,NA
Olean,NY,386,2008-05-01,75500
Auburn,NY,387,2008-05-01,97600
Athens,TX,388,2008-05-01,NA
Palatka,FL,400,2008-05-01,NA
Mount Airy,NC,402,2008-05-01,92000
North Wilkesboro,NC,415,2008-05-01,NA
Forest City,NC,417,2008-05-01,NA
Lake City,FL,418,2008-05-01,122600
Morehead City,NC,422,2008-05-01,237500
Clearlake,CA,427,2008-05-01,232100
Red Bluff,CA,432,2008-05-01,NA
Hudson,NY,433,2008-05-01,206300
Oneonta,NY,436,2008-05-01,NA
Albemarle,NC,446,2008-05-01,NA
Batavia,NY,450,2008-05-01,95200
Oxford,NC,451,2008-05-01,137200
Kinston,NC,453,2008-05-01,NA
Sonora,CA,458,2008-05-01,270500
Payson,AZ,464,2008-05-01,NA
Boone,NC,478,2008-05-01,NA
Kerrville,TX,483,2008-05-01,161200
Cortland,NY,486,2008-05-01,100000
Nogales,AZ,493,2008-05-01,164800
Marion,NC,511,2008-05-01,NA
El Campo,TX,535,2008-05-01,NA
Cullowhee,NC,541,2008-05-01,NA
Okeechobee,FL,545,2008-05-01,NA
Clewiston,FL,549,2008-05-01,NA
Gainesville,TX,554,2008-05-01,NA
Kill Devil Hills,NC,555,2008-05-01,NA
Stephenville,TX,557,2008-05-01,115400
Safford,AZ,561,2008-05-01,NA
Seneca Falls,NY,573,2008-05-01,NA
Brenham,TX,578,2008-05-01,NA
Brevard,NC,580,2008-05-01,169300
Crescent City,CA,595,2008-05-01,NA
Borger,TX,618,2008-05-01,NA
New York,NY,1,2008-06-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2008-06-01,432500
Dallas-Fort Worth,TX,4,2008-06-01,141600
Houston,TX,6,2008-06-01,142400
Miami-Fort Lauderdale,FL,8,2008-06-01,229500
San Francisco,CA,11,2008-06-01,457900
Riverside,CA,12,2008-06-01,257800
Phoenix,AZ,13,2008-06-01,198500
San Diego,CA,16,2008-06-01,369800
Tampa,FL,18,2008-06-01,159400
Charlotte,NC,23,2008-06-01,145400
