City,State,SizeRank,Date,Sell_Price
Tampa,FL,18,2009-09-01,122400
Charlotte,NC,23,2009-09-01,145600
Sacramento,CA,24,2009-09-01,205700
San Antonio,TX,25,2009-09-01,145000
Orlando,FL,26,2009-09-01,120200
San Jose,CA,33,2009-09-01,464100
Austin,TX,34,2009-09-01,186100
Jacksonville,FL,39,2009-09-01,141000
Buffalo,NY,46,2009-09-01,NA
Raleigh,NC,47,2009-09-01,166400
Rochester,NY,50,2009-09-01,NA
Tucson,AZ,52,2009-09-01,163000
Fresno,CA,55,2009-09-01,144700
Albany,NY,59,2009-09-01,176100
Bakersfield,CA,62,2009-09-01,116200
Ventura,CA,65,2009-09-01,376800
El Paso,TX,67,2009-09-01,NA
Greensboro,NC,71,2009-09-01,122700
North Port-Sarasota-Bradenton,FL,73,2009-09-01,154000
Stockton,CA,75,2009-09-01,153300
Syracuse,NY,77,2009-09-01,111000
Winston-Salem,NC,79,2009-09-01,120800
Fort Myers,FL,82,2009-09-01,87600
Lakeland,FL,86,2009-09-01,100200
Daytona Beach,FL,88,2009-09-01,125200
Melbourne,FL,95,2009-09-01,118800
Modesto,CA,100,2009-09-01,136100
Durham,NC,102,2009-09-01,176700
Santa Rosa,CA,103,2009-09-01,321600
Pensacola,FL,108,2009-09-01,137700
Visalia,CA,109,2009-09-01,129900
Asheville,NC,114,2009-09-01,NA
Port St. Lucie,FL,115,2009-09-01,107900
Santa Maria-Santa Barbara,CA,116,2009-09-01,334200
Salinas,CA,119,2009-09-01,225400
Vallejo,CA,120,2009-09-01,191600
Killeen,TX,123,2009-09-01,110800
Tallahassee,FL,133,2009-09-01,157000
Fayetteville,NC,135,2009-09-01,119600
Hickory,NC,136,2009-09-01,110500
Ocala,FL,142,2009-09-01,98700
Naples,FL,144,2009-09-01,189800
Utica,NY,153,2009-09-01,82700
San Luis Obispo,CA,160,2009-09-01,389500
Gainesville,FL,161,2009-09-01,150800
Santa Cruz,CA,162,2009-09-01,443600
Merced,CA,165,2009-09-01,108100
Wilmington,NC,166,2009-09-01,190500
Waco,TX,169,2009-09-01,NA
Amarillo,TX,171,2009-09-01,111400
Binghamton,NY,172,2009-09-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2009-09-01,210700
Chico,CA,184,2009-09-01,205600
Prescott,AZ,188,2009-09-01,186900
Tyler,TX,190,2009-09-01,NA
Lake Havasu City,AZ,198,2009-09-01,127900
Yuma,AZ,203,2009-09-01,132600
Panama City,FL,211,2009-09-01,174200
Kingston,NY,212,2009-09-01,NA
Redding,CA,217,2009-09-01,191900
El Centro,CA,219,2009-09-01,NA
Greenville,NC,223,2009-09-01,130600
Yuba City,CA,226,2009-09-01,157600
Abilene,TX,227,2009-09-01,NA
Punta Gorda,FL,233,2009-09-01,116700
Hanford,CA,246,2009-09-01,158000
Rocky Mount,NC,248,2009-09-01,NA
Burlington,NC,250,2009-09-01,123600
Madera,CA,251,2009-09-01,129800
Midland,TX,262,2009-09-01,NA
Homosassa Springs,FL,263,2009-09-01,101500
Vero Beach,FL,267,2009-09-01,127200
Odessa,TX,268,2009-09-01,NA
Napa,CA,269,2009-09-01,340500
Eureka,CA,271,2009-09-01,247200
Flagstaff,AZ,273,2009-09-01,265800
Sierra Vista,AZ,278,2009-09-01,168900
Glens Falls,NY,281,2009-09-01,139600
New Bern,NC,285,2009-09-01,147700
Goldsboro,NC,290,2009-09-01,NA
Sherman,TX,294,2009-09-01,NA
Watertown,NY,300,2009-09-01,128400
Dunn,NC,304,2009-09-01,NA
Show Low,AZ,318,2009-09-01,NA
Ithaca,NY,327,2009-09-01,NA
Corning,NY,335,2009-09-01,71600
Sebring,FL,336,2009-09-01,95100
Truckee,CA,337,2009-09-01,329000
Shelby,NC,340,2009-09-01,NA
Victoria,TX,347,2009-09-01,124900
The Villages,FL,349,2009-09-01,172600
Elmira,NY,362,2009-09-01,NA
Pinehurst-Southern Pines,NC,365,2009-09-01,196200
Ukiah,CA,366,2009-09-01,242300
Huntsville,TX,377,2009-09-01,126000
Plattsburgh,NY,378,2009-09-01,117400
Wilson,NC,384,2009-09-01,NA
Olean,NY,386,2009-09-01,68100
Auburn,NY,387,2009-09-01,89100
Athens,TX,388,2009-09-01,NA
Palatka,FL,400,2009-09-01,NA
Mount Airy,NC,402,2009-09-01,97900
North Wilkesboro,NC,415,2009-09-01,NA
Forest City,NC,417,2009-09-01,NA
Lake City,FL,418,2009-09-01,113000
Morehead City,NC,422,2009-09-01,239300
Clearlake,CA,427,2009-09-01,155100
Red Bluff,CA,432,2009-09-01,NA
Hudson,NY,433,2009-09-01,178500
Oneonta,NY,436,2009-09-01,NA
Albemarle,NC,446,2009-09-01,NA
Batavia,NY,450,2009-09-01,85300
Oxford,NC,451,2009-09-01,154600
Kinston,NC,453,2009-09-01,NA
Sonora,CA,458,2009-09-01,219000
Payson,AZ,464,2009-09-01,NA
Boone,NC,478,2009-09-01,NA
Kerrville,TX,483,2009-09-01,162200
Cortland,NY,486,2009-09-01,102700
Nogales,AZ,493,2009-09-01,139600
Marion,NC,511,2009-09-01,NA
El Campo,TX,535,2009-09-01,NA
Cullowhee,NC,541,2009-09-01,NA
Okeechobee,FL,545,2009-09-01,NA
Clewiston,FL,549,2009-09-01,NA
Gainesville,TX,554,2009-09-01,NA
Kill Devil Hills,NC,555,2009-09-01,NA
Stephenville,TX,557,2009-09-01,98900
Safford,AZ,561,2009-09-01,NA
Seneca Falls,NY,573,2009-09-01,NA
Brenham,TX,578,2009-09-01,NA
Brevard,NC,580,2009-09-01,207600
Crescent City,CA,595,2009-09-01,NA
Borger,TX,618,2009-09-01,NA
New York,NY,1,2009-10-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2009-10-01,353000
Dallas-Fort Worth,TX,4,2009-10-01,148200
Houston,TX,6,2009-10-01,149900
Miami-Fort Lauderdale,FL,8,2009-10-01,143900
San Francisco,CA,11,2009-10-01,364600
Riverside,CA,12,2009-10-01,162300
Phoenix,AZ,13,2009-10-01,125700
San Diego,CA,16,2009-10-01,318700
Tampa,FL,18,2009-10-01,122400
Charlotte,NC,23,2009-10-01,147500
Sacramento,CA,24,2009-10-01,206600
San Antonio,TX,25,2009-10-01,143200
Orlando,FL,26,2009-10-01,120000
San Jose,CA,33,2009-10-01,467100
Austin,TX,34,2009-10-01,185900
Jacksonville,FL,39,2009-10-01,137000
Buffalo,NY,46,2009-10-01,NA
Raleigh,NC,47,2009-10-01,167300
Rochester,NY,50,2009-10-01,NA
Tucson,AZ,52,2009-10-01,159600
Fresno,CA,55,2009-10-01,145600
Albany,NY,59,2009-10-01,179200
Bakersfield,CA,62,2009-10-01,117800
Ventura,CA,65,2009-10-01,380100
El Paso,TX,67,2009-10-01,NA
Greensboro,NC,71,2009-10-01,122700
North Port-Sarasota-Bradenton,FL,73,2009-10-01,155200
Stockton,CA,75,2009-10-01,154900
Syracuse,NY,77,2009-10-01,112000
Winston-Salem,NC,79,2009-10-01,122700
Fort Myers,FL,82,2009-10-01,88500
Lakeland,FL,86,2009-10-01,99100
Daytona Beach,FL,88,2009-10-01,124200
Melbourne,FL,95,2009-10-01,117200
Modesto,CA,100,2009-10-01,137200
Durham,NC,102,2009-10-01,176300
Santa Rosa,CA,103,2009-10-01,328700
Pensacola,FL,108,2009-10-01,138900
Visalia,CA,109,2009-10-01,127000
Asheville,NC,114,2009-10-01,NA
Port St. Lucie,FL,115,2009-10-01,109400
Santa Maria-Santa Barbara,CA,116,2009-10-01,340100
Salinas,CA,119,2009-10-01,233300
Vallejo,CA,120,2009-10-01,193600
Killeen,TX,123,2009-10-01,113000
Tallahassee,FL,133,2009-10-01,157200
Fayetteville,NC,135,2009-10-01,118400
Hickory,NC,136,2009-10-01,111500
Ocala,FL,142,2009-10-01,96700
Naples,FL,144,2009-10-01,195900
Utica,NY,153,2009-10-01,86100
San Luis Obispo,CA,160,2009-10-01,395800
Gainesville,FL,161,2009-10-01,155200
Santa Cruz,CA,162,2009-10-01,437700
Merced,CA,165,2009-10-01,110300
Wilmington,NC,166,2009-10-01,190600
Waco,TX,169,2009-10-01,NA
Amarillo,TX,171,2009-10-01,112500
Binghamton,NY,172,2009-10-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2009-10-01,212800
Chico,CA,184,2009-10-01,202500
Prescott,AZ,188,2009-10-01,187200
Tyler,TX,190,2009-10-01,NA
Lake Havasu City,AZ,198,2009-10-01,125600
Yuma,AZ,203,2009-10-01,132000
Panama City,FL,211,2009-10-01,172900
Kingston,NY,212,2009-10-01,NA
Redding,CA,217,2009-10-01,193400
El Centro,CA,219,2009-10-01,NA
Greenville,NC,223,2009-10-01,130600
Yuba City,CA,226,2009-10-01,155600
Abilene,TX,227,2009-10-01,NA
Punta Gorda,FL,233,2009-10-01,113300
Hanford,CA,246,2009-10-01,151300
Rocky Mount,NC,248,2009-10-01,NA
Burlington,NC,250,2009-10-01,125200
Madera,CA,251,2009-10-01,131600
Midland,TX,262,2009-10-01,NA
Homosassa Springs,FL,263,2009-10-01,98300
Vero Beach,FL,267,2009-10-01,126300
Odessa,TX,268,2009-10-01,NA
Napa,CA,269,2009-10-01,347300
Eureka,CA,271,2009-10-01,239900
Flagstaff,AZ,273,2009-10-01,275000
Sierra Vista,AZ,278,2009-10-01,166800
Glens Falls,NY,281,2009-10-01,140300
New Bern,NC,285,2009-10-01,142100
Goldsboro,NC,290,2009-10-01,NA
Sherman,TX,294,2009-10-01,NA
Watertown,NY,300,2009-10-01,130200
Dunn,NC,304,2009-10-01,NA
Show Low,AZ,318,2009-10-01,NA
Ithaca,NY,327,2009-10-01,NA
Corning,NY,335,2009-10-01,67600
Sebring,FL,336,2009-10-01,89200
Truckee,CA,337,2009-10-01,329600
Shelby,NC,340,2009-10-01,NA
Victoria,TX,347,2009-10-01,124800
The Villages,FL,349,2009-10-01,169500
Elmira,NY,362,2009-10-01,NA
Pinehurst-Southern Pines,NC,365,2009-10-01,182500
Ukiah,CA,366,2009-10-01,241900
Huntsville,TX,377,2009-10-01,132400
Plattsburgh,NY,378,2009-10-01,118900
Wilson,NC,384,2009-10-01,NA
Olean,NY,386,2009-10-01,68000
Auburn,NY,387,2009-10-01,84500
Athens,TX,388,2009-10-01,NA
Palatka,FL,400,2009-10-01,NA
Mount Airy,NC,402,2009-10-01,107800
North Wilkesboro,NC,415,2009-10-01,NA
Forest City,NC,417,2009-10-01,NA
Lake City,FL,418,2009-10-01,110000
Morehead City,NC,422,2009-10-01,221400
Clearlake,CA,427,2009-10-01,158000
Red Bluff,CA,432,2009-10-01,NA
Hudson,NY,433,2009-10-01,176100
Oneonta,NY,436,2009-10-01,NA
Albemarle,NC,446,2009-10-01,NA
Batavia,NY,450,2009-10-01,87700
Oxford,NC,451,2009-10-01,151700
Kinston,NC,453,2009-10-01,NA
Sonora,CA,458,2009-10-01,214100
Payson,AZ,464,2009-10-01,NA
Boone,NC,478,2009-10-01,NA
Kerrville,TX,483,2009-10-01,147200
Cortland,NY,486,2009-10-01,105800
Nogales,AZ,493,2009-10-01,122600
Marion,NC,511,2009-10-01,NA
El Campo,TX,535,2009-10-01,NA
Cullowhee,NC,541,2009-10-01,NA
Okeechobee,FL,545,2009-10-01,NA
Clewiston,FL,549,2009-10-01,NA
Gainesville,TX,554,2009-10-01,NA
Kill Devil Hills,NC,555,2009-10-01,NA
Stephenville,TX,557,2009-10-01,110700
Safford,AZ,561,2009-10-01,NA
Seneca Falls,NY,573,2009-10-01,NA
Brenham,TX,578,2009-10-01,NA
Brevard,NC,580,2009-10-01,192700
Crescent City,CA,595,2009-10-01,NA
Borger,TX,618,2009-10-01,NA
New York,NY,1,2009-11-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2009-11-01,359900
Dallas-Fort Worth,TX,4,2009-11-01,146900
Houston,TX,6,2009-11-01,147600
Miami-Fort Lauderdale,FL,8,2009-11-01,143800
San Francisco,CA,11,2009-11-01,373600
Riverside,CA,12,2009-11-01,166600
Phoenix,AZ,13,2009-11-01,128700
San Diego,CA,16,2009-11-01,321600
Tampa,FL,18,2009-11-01,124600
Charlotte,NC,23,2009-11-01,148300
Sacramento,CA,24,2009-11-01,207500
San Antonio,TX,25,2009-11-01,141300
Orlando,FL,26,2009-11-01,120300
San Jose,CA,33,2009-11-01,469800
Austin,TX,34,2009-11-01,183400
Jacksonville,FL,39,2009-11-01,136900
Buffalo,NY,46,2009-11-01,NA
Raleigh,NC,47,2009-11-01,170000
Rochester,NY,50,2009-11-01,NA
Tucson,AZ,52,2009-11-01,159700
Fresno,CA,55,2009-11-01,151000
Albany,NY,59,2009-11-01,179600
Bakersfield,CA,62,2009-11-01,122300
Ventura,CA,65,2009-11-01,377400
El Paso,TX,67,2009-11-01,NA
Greensboro,NC,71,2009-11-01,124400
North Port-Sarasota-Bradenton,FL,73,2009-11-01,153800
Stockton,CA,75,2009-11-01,160800
Syracuse,NY,77,2009-11-01,110100
Winston-Salem,NC,79,2009-11-01,121900
Fort Myers,FL,82,2009-11-01,90200
Lakeland,FL,86,2009-11-01,101700
Daytona Beach,FL,88,2009-11-01,121900
Melbourne,FL,95,2009-11-01,119700
Modesto,CA,100,2009-11-01,140800
Durham,NC,102,2009-11-01,172300
Santa Rosa,CA,103,2009-11-01,336500
Pensacola,FL,108,2009-11-01,138100
Visalia,CA,109,2009-11-01,130000
Asheville,NC,114,2009-11-01,NA
Port St. Lucie,FL,115,2009-11-01,111600
Santa Maria-Santa Barbara,CA,116,2009-11-01,338900
Salinas,CA,119,2009-11-01,236700
Vallejo,CA,120,2009-11-01,198200
Killeen,TX,123,2009-11-01,111100
Tallahassee,FL,133,2009-11-01,155200
Fayetteville,NC,135,2009-11-01,118500
Hickory,NC,136,2009-11-01,110500
Ocala,FL,142,2009-11-01,92800
Naples,FL,144,2009-11-01,207400
Utica,NY,153,2009-11-01,85600
San Luis Obispo,CA,160,2009-11-01,404400
Gainesville,FL,161,2009-11-01,155500
Santa Cruz,CA,162,2009-11-01,458100
Merced,CA,165,2009-11-01,115900
Wilmington,NC,166,2009-11-01,186700
Waco,TX,169,2009-11-01,NA
Amarillo,TX,171,2009-11-01,116400
Binghamton,NY,172,2009-11-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2009-11-01,208500
Chico,CA,184,2009-11-01,204000
Prescott,AZ,188,2009-11-01,183200
Tyler,TX,190,2009-11-01,NA
Lake Havasu City,AZ,198,2009-11-01,123800
Yuma,AZ,203,2009-11-01,134000
Panama City,FL,211,2009-11-01,169800
Kingston,NY,212,2009-11-01,NA
Redding,CA,217,2009-11-01,189600
El Centro,CA,219,2009-11-01,NA
Greenville,NC,223,2009-11-01,129400
Yuba City,CA,226,2009-11-01,154600
Abilene,TX,227,2009-11-01,NA
Punta Gorda,FL,233,2009-11-01,108500
Hanford,CA,246,2009-11-01,149700
Rocky Mount,NC,248,2009-11-01,NA
Burlington,NC,250,2009-11-01,127000
Madera,CA,251,2009-11-01,139900
Midland,TX,262,2009-11-01,NA
Homosassa Springs,FL,263,2009-11-01,94600
Vero Beach,FL,267,2009-11-01,129200
Odessa,TX,268,2009-11-01,NA
Napa,CA,269,2009-11-01,348100
Eureka,CA,271,2009-11-01,239700
Flagstaff,AZ,273,2009-11-01,265200
Sierra Vista,AZ,278,2009-11-01,166300
Glens Falls,NY,281,2009-11-01,144800
New Bern,NC,285,2009-11-01,152900
Goldsboro,NC,290,2009-11-01,NA
Sherman,TX,294,2009-11-01,NA
Watertown,NY,300,2009-11-01,127400
Dunn,NC,304,2009-11-01,NA
Show Low,AZ,318,2009-11-01,NA
Ithaca,NY,327,2009-11-01,NA
Corning,NY,335,2009-11-01,69800
Sebring,FL,336,2009-11-01,96900
Truckee,CA,337,2009-11-01,329700
Shelby,NC,340,2009-11-01,NA
Victoria,TX,347,2009-11-01,124500
The Villages,FL,349,2009-11-01,168900
Elmira,NY,362,2009-11-01,NA
Pinehurst-Southern Pines,NC,365,2009-11-01,188000
Ukiah,CA,366,2009-11-01,248800
Huntsville,TX,377,2009-11-01,135700
Plattsburgh,NY,378,2009-11-01,119900
Wilson,NC,384,2009-11-01,NA
Olean,NY,386,2009-11-01,67500
Auburn,NY,387,2009-11-01,90200
Athens,TX,388,2009-11-01,NA
Palatka,FL,400,2009-11-01,NA
Mount Airy,NC,402,2009-11-01,108700
North Wilkesboro,NC,415,2009-11-01,NA
Forest City,NC,417,2009-11-01,NA
Lake City,FL,418,2009-11-01,110300
Morehead City,NC,422,2009-11-01,214700
Clearlake,CA,427,2009-11-01,153900
Red Bluff,CA,432,2009-11-01,NA
Hudson,NY,433,2009-11-01,184900
Oneonta,NY,436,2009-11-01,NA
Albemarle,NC,446,2009-11-01,NA
Batavia,NY,450,2009-11-01,87900
Oxford,NC,451,2009-11-01,152000
Kinston,NC,453,2009-11-01,NA
Sonora,CA,458,2009-11-01,223000
Payson,AZ,464,2009-11-01,NA
Boone,NC,478,2009-11-01,NA
Kerrville,TX,483,2009-11-01,144500
Cortland,NY,486,2009-11-01,102700
Nogales,AZ,493,2009-11-01,115700
Marion,NC,511,2009-11-01,NA
El Campo,TX,535,2009-11-01,NA
Cullowhee,NC,541,2009-11-01,NA
Okeechobee,FL,545,2009-11-01,NA
Clewiston,FL,549,2009-11-01,NA
Gainesville,TX,554,2009-11-01,NA
Kill Devil Hills,NC,555,2009-11-01,NA
Stephenville,TX,557,2009-11-01,117500
Safford,AZ,561,2009-11-01,NA
Seneca Falls,NY,573,2009-11-01,NA
Brenham,TX,578,2009-11-01,NA
Brevard,NC,580,2009-11-01,193100
Crescent City,CA,595,2009-11-01,NA
Borger,TX,618,2009-11-01,NA
New York,NY,1,2009-12-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2009-12-01,362300
Dallas-Fort Worth,TX,4,2009-12-01,145500
Houston,TX,6,2009-12-01,144800
Miami-Fort Lauderdale,FL,8,2009-12-01,144200
San Francisco,CA,11,2009-12-01,384400
Riverside,CA,12,2009-12-01,169700
Phoenix,AZ,13,2009-12-01,128100
San Diego,CA,16,2009-12-01,324800
Tampa,FL,18,2009-12-01,123400
Charlotte,NC,23,2009-12-01,147000
Sacramento,CA,24,2009-12-01,208700
San Antonio,TX,25,2009-12-01,140100
Orlando,FL,26,2009-12-01,121500
San Jose,CA,33,2009-12-01,479800
Austin,TX,34,2009-12-01,184600
Jacksonville,FL,39,2009-12-01,137400
Buffalo,NY,46,2009-12-01,NA
Raleigh,NC,47,2009-12-01,173800
Rochester,NY,50,2009-12-01,NA
Tucson,AZ,52,2009-12-01,154200
Fresno,CA,55,2009-12-01,150400
Albany,NY,59,2009-12-01,177300
Bakersfield,CA,62,2009-12-01,123400
Ventura,CA,65,2009-12-01,374700
El Paso,TX,67,2009-12-01,NA
Greensboro,NC,71,2009-12-01,121500
North Port-Sarasota-Bradenton,FL,73,2009-12-01,155000
Stockton,CA,75,2009-12-01,166400
Syracuse,NY,77,2009-12-01,107600
Winston-Salem,NC,79,2009-12-01,123600
Fort Myers,FL,82,2009-12-01,92300
Lakeland,FL,86,2009-12-01,98800
Daytona Beach,FL,88,2009-12-01,121900
Melbourne,FL,95,2009-12-01,118400
Modesto,CA,100,2009-12-01,140900
Durham,NC,102,2009-12-01,174400
Santa Rosa,CA,103,2009-12-01,340500
Pensacola,FL,108,2009-12-01,137800
Visalia,CA,109,2009-12-01,130300
Asheville,NC,114,2009-12-01,NA
Port St. Lucie,FL,115,2009-12-01,111500
Santa Maria-Santa Barbara,CA,116,2009-12-01,335900
Salinas,CA,119,2009-12-01,243300
Vallejo,CA,120,2009-12-01,202300
Killeen,TX,123,2009-12-01,111200
Tallahassee,FL,133,2009-12-01,143300
Fayetteville,NC,135,2009-12-01,122400
Hickory,NC,136,2009-12-01,110800
Ocala,FL,142,2009-12-01,97100
Naples,FL,144,2009-12-01,212000
Utica,NY,153,2009-12-01,87000
San Luis Obispo,CA,160,2009-12-01,399900
Gainesville,FL,161,2009-12-01,156100
Santa Cruz,CA,162,2009-12-01,482600
Merced,CA,165,2009-12-01,117800
Wilmington,NC,166,2009-12-01,186700
Waco,TX,169,2009-12-01,NA
Amarillo,TX,171,2009-12-01,120000
Binghamton,NY,172,2009-12-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2009-12-01,201500
Chico,CA,184,2009-12-01,193100
Prescott,AZ,188,2009-12-01,175000
Tyler,TX,190,2009-12-01,NA
Lake Havasu City,AZ,198,2009-12-01,121100
Yuma,AZ,203,2009-12-01,138900
Panama City,FL,211,2009-12-01,168300
Kingston,NY,212,2009-12-01,NA
Redding,CA,217,2009-12-01,188200
El Centro,CA,219,2009-12-01,NA
Greenville,NC,223,2009-12-01,126800
Yuba City,CA,226,2009-12-01,156100
Abilene,TX,227,2009-12-01,NA
Punta Gorda,FL,233,2009-12-01,106000
Hanford,CA,246,2009-12-01,147800
Rocky Mount,NC,248,2009-12-01,NA
Burlington,NC,250,2009-12-01,130800
Madera,CA,251,2009-12-01,142000
Midland,TX,262,2009-12-01,NA
Homosassa Springs,FL,263,2009-12-01,99300
Vero Beach,FL,267,2009-12-01,121900
Odessa,TX,268,2009-12-01,NA
Napa,CA,269,2009-12-01,361600
Eureka,CA,271,2009-12-01,229100
Flagstaff,AZ,273,2009-12-01,256900
Sierra Vista,AZ,278,2009-12-01,160200
Glens Falls,NY,281,2009-12-01,140600
New Bern,NC,285,2009-12-01,147000
Goldsboro,NC,290,2009-12-01,NA
Sherman,TX,294,2009-12-01,NA
Watertown,NY,300,2009-12-01,126800
Dunn,NC,304,2009-12-01,NA
Show Low,AZ,318,2009-12-01,NA
Ithaca,NY,327,2009-12-01,NA
Corning,NY,335,2009-12-01,74200
Sebring,FL,336,2009-12-01,96000
Truckee,CA,337,2009-12-01,332900
Shelby,NC,340,2009-12-01,NA
Victoria,TX,347,2009-12-01,129000
The Villages,FL,349,2009-12-01,165800
Elmira,NY,362,2009-12-01,NA
Pinehurst-Southern Pines,NC,365,2009-12-01,186800
Ukiah,CA,366,2009-12-01,256000
Huntsville,TX,377,2009-12-01,147700
Plattsburgh,NY,378,2009-12-01,114700
Wilson,NC,384,2009-12-01,NA
Olean,NY,386,2009-12-01,65300
Auburn,NY,387,2009-12-01,92200
Athens,TX,388,2009-12-01,NA
Palatka,FL,400,2009-12-01,NA
Mount Airy,NC,402,2009-12-01,97900
North Wilkesboro,NC,415,2009-12-01,NA
Forest City,NC,417,2009-12-01,NA
Lake City,FL,418,2009-12-01,118400
Morehead City,NC,422,2009-12-01,238100
Clearlake,CA,427,2009-12-01,151000
Red Bluff,CA,432,2009-12-01,NA
Hudson,NY,433,2009-12-01,203800
Oneonta,NY,436,2009-12-01,NA
Albemarle,NC,446,2009-12-01,NA
Batavia,NY,450,2009-12-01,89400
Oxford,NC,451,2009-12-01,142100
Kinston,NC,453,2009-12-01,NA
Sonora,CA,458,2009-12-01,209600
Payson,AZ,464,2009-12-01,NA
Boone,NC,478,2009-12-01,NA
Kerrville,TX,483,2009-12-01,139000
Cortland,NY,486,2009-12-01,104200
Nogales,AZ,493,2009-12-01,116300
Marion,NC,511,2009-12-01,NA
El Campo,TX,535,2009-12-01,NA
Cullowhee,NC,541,2009-12-01,NA
Okeechobee,FL,545,2009-12-01,NA
Clewiston,FL,549,2009-12-01,NA
Gainesville,TX,554,2009-12-01,NA
Kill Devil Hills,NC,555,2009-12-01,NA
Stephenville,TX,557,2009-12-01,106200
Safford,AZ,561,2009-12-01,NA
Seneca Falls,NY,573,2009-12-01,NA
Brenham,TX,578,2009-12-01,NA
Brevard,NC,580,2009-12-01,186600
Crescent City,CA,595,2009-12-01,NA
Borger,TX,618,2009-12-01,NA
New York,NY,1,2010-01-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2010-01-01,364800
Dallas-Fort Worth,TX,4,2010-01-01,145700
Houston,TX,6,2010-01-01,144400
Miami-Fort Lauderdale,FL,8,2010-01-01,143800
San Francisco,CA,11,2010-01-01,386700
Riverside,CA,12,2010-01-01,174600
Phoenix,AZ,13,2010-01-01,129000
San Diego,CA,16,2010-01-01,322100
Tampa,FL,18,2010-01-01,123900
Charlotte,NC,23,2010-01-01,146500
Sacramento,CA,24,2010-01-01,211100
San Antonio,TX,25,2010-01-01,140700
Orlando,FL,26,2010-01-01,115700
San Jose,CA,33,2010-01-01,487400
Austin,TX,34,2010-01-01,183400
Jacksonville,FL,39,2010-01-01,140800
Buffalo,NY,46,2010-01-01,NA
Raleigh,NC,47,2010-01-01,177300
Rochester,NY,50,2010-01-01,NA
Tucson,AZ,52,2010-01-01,159700
Fresno,CA,55,2010-01-01,148600
Albany,NY,59,2010-01-01,174400
Bakersfield,CA,62,2010-01-01,122400
Ventura,CA,65,2010-01-01,371700
El Paso,TX,67,2010-01-01,NA
Greensboro,NC,71,2010-01-01,116500
North Port-Sarasota-Bradenton,FL,73,2010-01-01,153700
Stockton,CA,75,2010-01-01,167700
Syracuse,NY,77,2010-01-01,106700
Winston-Salem,NC,79,2010-01-01,125500
Fort Myers,FL,82,2010-01-01,91600
Lakeland,FL,86,2010-01-01,96100
Daytona Beach,FL,88,2010-01-01,121200
Melbourne,FL,95,2010-01-01,120300
Modesto,CA,100,2010-01-01,140300
Durham,NC,102,2010-01-01,172400
Santa Rosa,CA,103,2010-01-01,339000
Pensacola,FL,108,2010-01-01,131600
Visalia,CA,109,2010-01-01,132400
Asheville,NC,114,2010-01-01,NA
Port St. Lucie,FL,115,2010-01-01,109600
Santa Maria-Santa Barbara,CA,116,2010-01-01,324800
Salinas,CA,119,2010-01-01,248200
Vallejo,CA,120,2010-01-01,206500
Killeen,TX,123,2010-01-01,110700
Tallahassee,FL,133,2010-01-01,148400
Fayetteville,NC,135,2010-01-01,117500
Hickory,NC,136,2010-01-01,115700
Ocala,FL,142,2010-01-01,99400
Naples,FL,144,2010-01-01,210700
Utica,NY,153,2010-01-01,85700
San Luis Obispo,CA,160,2010-01-01,396100
Gainesville,FL,161,2010-01-01,159700
Santa Cruz,CA,162,2010-01-01,474600
Merced,CA,165,2010-01-01,122000
Wilmington,NC,166,2010-01-01,192800
Waco,TX,169,2010-01-01,NA
Amarillo,TX,171,2010-01-01,117800
Binghamton,NY,172,2010-01-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2010-01-01,209100
Chico,CA,184,2010-01-01,177800
Prescott,AZ,188,2010-01-01,171100
Tyler,TX,190,2010-01-01,NA
Lake Havasu City,AZ,198,2010-01-01,122700
Yuma,AZ,203,2010-01-01,130800
Panama City,FL,211,2010-01-01,171400
Kingston,NY,212,2010-01-01,NA
Redding,CA,217,2010-01-01,186100
El Centro,CA,219,2010-01-01,NA
Greenville,NC,223,2010-01-01,129000
Yuba City,CA,226,2010-01-01,156400
Abilene,TX,227,2010-01-01,NA
Punta Gorda,FL,233,2010-01-01,103200
Hanford,CA,246,2010-01-01,150300
Rocky Mount,NC,248,2010-01-01,NA
Burlington,NC,250,2010-01-01,132900
Madera,CA,251,2010-01-01,140900
Midland,TX,262,2010-01-01,NA
Homosassa Springs,FL,263,2010-01-01,106800
Vero Beach,FL,267,2010-01-01,129700
Odessa,TX,268,2010-01-01,NA
Napa,CA,269,2010-01-01,368200
Eureka,CA,271,2010-01-01,239600
Flagstaff,AZ,273,2010-01-01,258500
Sierra Vista,AZ,278,2010-01-01,158200
Glens Falls,NY,281,2010-01-01,140000
New Bern,NC,285,2010-01-01,155700
Goldsboro,NC,290,2010-01-01,NA
Sherman,TX,294,2010-01-01,NA
Watertown,NY,300,2010-01-01,122000
Dunn,NC,304,2010-01-01,NA
Show Low,AZ,318,2010-01-01,NA
Ithaca,NY,327,2010-01-01,NA
Corning,NY,335,2010-01-01,81500
Sebring,FL,336,2010-01-01,96300
