DATE,Min_Wage,State
2006-01-01,6.4,FL
2007-01-01,6.67,FL
2008-01-01,6.79,FL
2009-01-01,7.21,FL
2010-01-01,7.25,FL
2011-01-01,7.25,FL
2012-01-01,7.67,FL
2013-01-01,7.79,FL
2014-01-01,7.93,FL
2015-01-01,8.05,FL
2016-01-01,8.05,FL
2017-01-01,8.1,FL
2018-01-01,8.25,FL
2019-01-01,8.46,FL
2020-01-01,8.56,FL
