DATE,Min_Wage,State
2007-01-01,6.75,AZ
2008-01-01,6.9,AZ
2009-01-01,7.25,AZ
2010-01-01,7.25,AZ
2011-01-01,7.35,AZ
2012-01-01,7.65,AZ
2013-01-01,7.8,AZ
2014-01-01,7.9,AZ
2015-01-01,8.05,AZ
2016-01-01,8.05,AZ
2017-01-01,10,AZ
2018-01-01,10.5,AZ
2019-01-01,11,AZ
2020-01-01,12,AZ
