DATE,Min_Wage,State
1999-01-01,4.25,NY
2000-01-01,4.25,NY
2001-01-01,5.15,NY
2002-01-01,5.15,NY
2003-01-01,5.15,NY
2004-01-01,5.15,NY
2005-01-01,6,NY
2006-01-01,6.75,NY
2007-01-01,7.15,NY
2008-01-01,7.15,NY
2009-01-01,7.15,NY
2010-01-01,7.25,NY
2011-01-01,7.25,NY
2012-01-01,7.25,NY
2013-01-01,7.25,NY
2014-01-01,8,NY
2015-01-01,8.75,NY
2016-01-01,9,NY
2017-01-01,9.7,NY
2018-01-01,10.4,NY
2019-01-01,11.1,NY
2020-01-01,11.8,NY
